,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_normalized,tweet_tokens_stemmed
18,1814200203898974234,Fri Jul 19 07:26:49 +0000 2024,0,christmas na eid zitakuwa siku moja tutabadilishana vyakula tu siku hiyo,1814200203898974234,,,in,Tanzania,0,0,0,https://x.com/Deodravis/status/1814200203898974234,859644447679803393,Deodravis,"['christmas', 'na', 'eid', 'zitakuwa', 'siku', 'moja', 'tutabadilishana', 'vyakula', 'tu', 'siku', 'hiyo']",<FreqDist with 10 samples and 11 outcomes>,"['christmas', 'na', 'eid', 'zitakuwa', 'siku', 'moja', 'tutabadilishana', 'vyakula', 'tu', 'siku', 'hiyo']","['christmas', 'na', 'eid', 'zitakuwa', 'siku', 'moja', 'tutabadilishana', 'vyakula', 'tu', 'siku', 'hiyo']","['christmas', 'na', 'eid', 'zitakuwa', 'siku', 'moja', 'tutabadilishana', 'vyakula', 'tu', 'siku', 'hiyo']"
19,1814200203857309750,Fri Jul 19 07:26:49 +0000 2024,0,upaya tindak tegas aparat keamanan terhadap opm kelompok teranus enumbi,1814200203857309750,https://pbs.twimg.com/media/GS1VeGkbMAAhGhG.jpg,,in,,0,0,0,https://x.com/madanirach_/status/1814200203857309750,1716453236490833920,madanirach_,"['upaya', 'tindak', 'tegas', 'aparat', 'keamanan', 'terhadap', 'opm', 'kelompok', 'teranus', 'enumbi']",<FreqDist with 10 samples and 10 outcomes>,"['upaya', 'tindak', 'aparat', 'keamanan', 'opm', 'kelompok', 'teranus', 'enumbi']","['upaya', 'tindak', 'aparat', 'keamanan', 'opm', 'kelompok', 'teranus', 'enumbi']","['upaya', 'tindak', 'aparat', 'aman', 'opm', 'kelompok', 'anus', 'enumbi']"
20,1814197090001842399,Fri Jul 19 07:26:49 +0000 2024,0,daeng itu gelar atau kakak,1814200203781771742,,julynabigwin,in,Balikpapan. Indonesia,0,0,0,https://x.com/ismedBadjeber/status/1814200203781771742,185897268,ismedBadjeber,"['daeng', 'itu', 'gelar', 'atau', 'kakak']",<FreqDist with 5 samples and 5 outcomes>,"['daeng', 'gelar', 'kakak']","['daeng', 'gelar', 'kakak']","['daeng', 'gelar', 'kakak']"
21,1814200203697959204,Fri Jul 19 07:26:49 +0000 2024,0,chudai pporno chudai,1814200203697959204,,,in,Phoenix,0,0,0,https://x.com/Kesley714132140/status/1814200203697959204,1793544900879011841,Kesley714132140,"['chudai', 'pporno', 'chudai']",<FreqDist with 2 samples and 3 outcomes>,"['chudai', 'pporno', 'chudai']","['chudai', 'pporno', 'chudai']","['chudai', 'pporno', 'chudai']"
22,1814107085484986616,Fri Jul 19 07:26:49 +0000 2024,0,nanti gw jogging sambil jajan,1814200203635024288,,DlRGANTARA,in,,0,0,0,https://x.com/perusaktimeline/status/1814200203635024288,1502269637081595914,perusaktimeline,"['nanti', 'gw', 'jogging', 'sambil', 'jajan']",<FreqDist with 5 samples and 5 outcomes>,"['gw', 'jogging', 'jajan']","['gw', 'jogging', 'jajan']","['gw', 'jogging', 'jajan']"
23,1814122724077572317,Fri Jul 19 07:26:49 +0000 2024,0,mari mulai bangkit,1814200203517493279,,ungkpanrasa,in,,0,0,0,https://x.com/bsapphirect/status/1814200203517493279,1581843948838223872,bsapphirect,"['mari', 'mulai', 'bangkit']",<FreqDist with 3 samples and 3 outcomes>,"['mari', 'bangkit']","['mari', 'bangkit']","['mari', 'bangkit']"
24,1813856824636109040,Fri Jul 19 07:26:49 +0000 2024,0,wkwkwk kan cuma sesekali kalau gitu mana semangatinnya masih lama ya,1814200203421077744,,hjihoons,in,Nirkomitmen.,0,0,0,https://x.com/htnjin/status/1814200203421077744,771883723457306624,htnjin,"['wkwkwk', 'kan', 'cuma', 'sesekali', 'kalau', 'gitu', 'mana', 'semangatinnya', 'masih', 'lama', 'ya']",<FreqDist with 11 samples and 11 outcomes>,"['wkwkwk', 'gitu', 'semangatinnya']","['wkwkwk', 'begitu', 'semangatinnya']","['wkwkwk', 'begitu', 'semangatinnya']"
25,1814195985582600666,Fri Jul 19 07:26:49 +0000 2024,0,koi shaq nai ha is ma,1814200203345355073,,rohailaftabbutt,in,Pakistan,0,0,0,https://x.com/Nisa__Ch/status/1814200203345355073,254961652,Nisa__Ch,"['koi', 'shaq', 'nai', 'ha', 'is', 'ma']",<FreqDist with 6 samples and 6 outcomes>,"['koi', 'shaq', 'nai', 'ha', 'is', 'ma']","['koi', 'shaq', 'nai', 'ha', 'is', 'ma']","['koi', 'shaq', 'nai', 'ha', 'is', 'ma']"
26,1814200203119051217,Fri Jul 19 07:26:49 +0000 2024,0,info akun yang banyak like amp percakapan bokep porno lokal full durasi,1814200203119051217,,,in,,0,0,0,https://x.com/PollickS29657/status/1814200203119051217,1789549060627849216,PollickS29657,"['info', 'akun', 'yang', 'banyak', 'like', 'amp', 'percakapan', 'bokep', 'porno', 'lokal', 'full', 'durasi']",<FreqDist with 12 samples and 12 outcomes>,"['info', 'akun', 'like', 'percakapan', 'bokep', 'porno', 'lokal', 'full', 'durasi']","['info', 'akun', 'like', 'percakapan', 'bokep', 'porno', 'lokal', 'full', 'durasi']","['info', 'akun', 'like', 'cakap', 'bokep', 'porno', 'lokal', 'full', 'durasi']"
27,1814200203010003067,Fri Jul 19 07:26:49 +0000 2024,0,ke makam gusdur jadi bisa lihat pondok nya suami jaman sekolah dulu,1814200203010003067,https://pbs.twimg.com/media/GS1VdG_b0AANNWe.jpg,,in,anywhere you want,0,0,0,https://x.com/junazkay/status/1814200203010003067,848537880,junazkay,"['ke', 'makam', 'gusdur', 'jadi', 'bisa', 'lihat', 'pondok', 'nya', 'suami', 'jaman', 'sekolah', 'dulu']",<FreqDist with 12 samples and 12 outcomes>,"['makam', 'gusdur', 'lihat', 'pondok', 'suami', 'jaman', 'sekolah']","['makam', 'gusdur', 'lihat', 'pondok', 'suami', 'jaman', 'sekolah']","['makam', 'gusdur', 'lihat', 'pondok', 'suami', 'jaman', 'sekolah']"
